n,type,avg_time_micro
42100,random,7062.4
42100,reversed,4062.8
42100,nearly,4097.4
42200,random,7077.8
42200,reversed,3905.4
42200,nearly,4163.2
42300,random,7100.6
42300,reversed,4143.6
42300,nearly,4223.2
42400,random,7075.8
42400,reversed,4019.4
42400,nearly,4345.8
42500,random,7095.6
42500,reversed,4075
42500,nearly,4333
42600,random,7149.4
42600,reversed,4012.8
42600,nearly,4158
42700,random,7130.8
42700,reversed,3961
42700,nearly,4340.6
42800,random,7144.2
42800,reversed,4185.6
42800,nearly,4353.8
42900,random,7175.6
42900,reversed,4028.2
42900,nearly,4328.2
43000,random,7189.4
43000,reversed,4164.4
43000,nearly,4205.8
43100,random,7192.8
43100,reversed,4097.2
43100,nearly,4241.4
43200,random,7231.8
43200,reversed,4106.2
43200,nearly,4329
43300,random,7260.4
43300,reversed,4043.4
43300,nearly,4437.6
43400,random,7418.6
43400,reversed,4123.4
43400,nearly,4379.8
43500,random,7244.6
43500,reversed,4104.4
43500,nearly,4250.4
43600,random,7329.2
43600,reversed,4142.4
43600,nearly,4281.4
